article_ix,doi,title,abstract,article_topic1,article_topic2,article_data_type
1,10.1111/j.1540-5907.2006.00182.x,Short versus Long Coalitions: Electoral Accountability and the Size of the Public Sector,"This article examines the policy consequences of the number of parties in government. We argue that parties externalize costs not borne by their support groups. Larger parties thus internalize more costs than small parties because they represent more groups. This argument implies that the public sector should be larger the more parties there are in the government coalition. We test this prediction using yearly time-series cross-sectional data from 1970 to 1998 in 17 European countries. We find that increasing the number of parties in government increases the fraction of GDP accounted for by government spending by close to half a percentage point, or more than one billion current dollars in the typical year. We find little support for the alternative claim that the number of legislative parties affects the size of the public sector, except via the number of parties in government.",,,
2,10.1111/j.1540-5907.2006.00183.x,"Citizens, Knowledge, and the Information Environment","In a democracy, knowledge is power. Research explaining the determinants of knowledge focuses on unchanging demographic and socioeconomic characteristics. This study combines data on the public's knowledge of nearly 50 political issues with media coverage of those topics. In a two-part analysis, we demonstrate how education, the strongest and most consistent predictor of political knowledge, has a more nuanced connection to learning than is commonly recognized. Sometimes education is positively related to knowledge. In other instances its effect is negligible. A substantial part of the variation in the education-knowledge relationship is due to the amount of information available in the mass media. This study is among the first to distinguish the short-term, aggregate-level influences on political knowledge from the largely static individual-level predictors and to empirically demonstrate the importance of the information environment.",,,
3,10.1111/j.1540-5907.2006.00184.x,"Redistricting, Candidate Entry, and the Politics of Nineteenth-Century U.S. House Elections","The effects of redistricting on candidate entry patterns in contemporary House races has received growing attention in the scholarly literature, yet virtually no consideration has been given to this question in the context of historical elections. This is unfortunate as the wider variation in congressional redistricting during the nineteenth century gives us increased leverage in terms of understanding strategic candidate behavior. Utilizing a new dataset of candidate quality for nineteenth-century House races, we examine whether candidates with prior electoral experience are more likely to run in districts that are altered during the redistricting process, and provide an account of how differences in the prevalence of redistricting may affect strategic entry decisions of politicians. Our results suggest that entry decisions and electoral outcomes are affected by redistricting in this era. Moreover, our analysis provides an opportunity to use history to test contemporary theories of congressional elections in a broader context.",,,
4,10.1111/j.1540-5907.2006.00185.x,States as Policy Laboratories: Emulating Success in the Children's Health Insurance Program,"This article illustrates the use of the directed dyad-year event history analysis to study policy diffusion, with an application to policy changes in the Children's Health Insurance Program from 1998 to 2001. This analysis reveals strong evidence that states with successful policies are more likely to be emulated than are those with failing policies. Evidence of success is especially relevant for policy changes that lower program costs rather than those raising costs, and for changes made by legislatures rather than by administrative agencies. Moreover, this study reveals policy diffusion based on political, demographic, and budgetary similarities across states, rather than simply geographic proximity.",,,
5,10.1111/j.1540-5907.2006.00186.x,Building Reputation: Why Governments Fight Some Separatists but Not Others,This article attempts to show that future players and future stakes—two factors generally ignored by political scientists—strongly influence government decisions to cooperate or fight at least against ethnic minorities seeking self-determination. Data on all separatist movements between 1956 and 2002 reveals that governments are significantly less likely to accommodate one challenge if the number of ethnic groups in a country and the combined value of the land that may come under dispute in the future is high. Governments that refused to accommodate one challenger were also significantly less likely to face a second or third challenge down the road. This provides some of the first systematic evidence that governments invest in reputation building a least in the domain of domestic ethnic relations.,,,
6,10.1111/j.1540-5907.2006.00187.x,"The Institutional Context of Tolerance for Ethnic Minorities: A Comparative, Multilevel Analysis of Western Europe","Drawing on recent insights in the nationalism and citizenship regime literatures, this article develops a macrotheoretical framework for understanding cross-national variations in tolerance of ethnic minorities. Specifically, it tests the hypothesis that the degree to which the dominant ethnic tradition or culture is institutionalized in the laws and policies of a nation-state affects citizen tolerance of ethnic minorities. Employing a multilevel regression model, it systematically tests the framework, as well as competing individual and country-level explanations, for all member states of the European Union in 1997. Results confirm a strong relationship between the laws governing the acquisition and expression of citizenship, that is, citizenship regime type, and individual tolerance judgments. Moreover, citizenship regime type has a strong mediating effect on three individual-level variables previously shown to predict tolerance: ingroup national identity, political ideology, and satisfaction with democracy.",,,
7,10.1111/j.1540-5907.2006.00188.x,"Racing to the Bottom? Trade, Environmental Governance, and ISO 14001","Globalization critics argue that international trade spurs a race to the bottom among national environmental standards. ISO 14001 is the most widely adopted voluntary environmental regulation which encourages firms to take environmental action beyond what domestic government regulations require. Drawing on a panel study of 108 countries over seven years, we investigate conditions under which trade linkages can encourage ISO 14001 adoption, thereby countering environmental races to the bottom. We find that trade linkages encourage ISO 14001 adoption if countries' major export markets have adopted this voluntary regulation.",,,
8,10.1111/j.1540-5907.2006.00189.x,Liberalizing Electoral Outcomes in Competitive Authoritarian Regimes,"In the wake of the third wave of democratization, competitive authoritarianism has emerged as a prominent regime type. These regimes feature regular, competitive elections between a government and an opposition, but the incumbent leader or party typically resorts to coercion, intimidation, and fraud to attempt to ensure electoral victory. Despite the incumbent's reliance on unfair practices to stay in power, such elections occasionally result in what we call a “liberalizing electoral outcome” (LEO), which often leads to a new government that is considerably less authoritarian than its predecessor. Using a “nested” research design that employs both cross-national statistical analysis and a case study of Kenya, we seek to explain how and why LEOs occur. Our findings highlight in particular the importance of the choices made by opposition elites to form a strategic coalition for the purpose of mounting a credible challenge to the ruling party or candidate in national elections.",,,
9,10.1111/j.1540-5907.2006.00190.x,Social Context and Campaign Volatility in New Democracies: Networks and Neighborhoods in Brazil's 2002 Elections,"In new democracies party systems are often young, so partisan cues and roots in the electorate tend to be weak. The results, in many instances, include volatile campaigns with comparatively high degrees of short-term preference change among voters. We explore the mechanisms of voter volatility and, more broadly, the ways in which citizens learn about issues and candidates in weak-party systems. We claim that citizens in such settings rely heavily upon persuasive information gathered from their immediate social contexts. Utilizing a unique panel survey implemented during Brazil's historic 2002 presidential election, we demonstrate the importance of political discussion within social networks and neighborhood context for explaining preference change during election campaigns. We also demonstrate the concrete political consequences of social context by showing how candidate momentum runs can be driven by waves of discussion.",,,
10,10.1111/j.1540-5907.2006.00191.x,Beyond Welfare: Framing and the Racialization of White Opinion on Social Security,"In this article I argue that the framing of Social Security in political discourse has associated it symbolically with race. The linkages are subtle and symbolic, and they serve to associate Social Security with whiteness in a mirror image of the association of welfare with blackness. In turn, these associations have racialized white opinion on the program. After discussing the theoretical mechanism by which issue frames can unconsciously associate policies with citizens' racial predispositions, I review the frames surrounding Social Security. Then, drawing on two decades of nationally representative survey data, I demonstrate the racialization of opinion among whites. Using a variety of measures of racial predispositions, I find that racially conservative whites feel more positively about Social Security than do racial liberals. I conclude by considering the implications of these findings for our understanding of racialized politics and for the connections between race, whiteness, and contemporary American politics.",,,
