"","doi","article_ix","abstract","article_topic1","article_data_type","citation","title"
"209","10.1111/j.1540-5907.2006.00232.x",49,"","skip","skip","NA","INDEXVolume 50"
"247","10.1111/j.1540-5907.2007.00270.x",87,"Recent theory on ethnic identity suggests that it is constructed and highly influenced by contextual factors and group leaders' strategies. Therefore, while the notion that social cleavages stabilize electoral politics is well established, which cleavages matter and why remain open questions. This article argues that in new democracies the effects of diffuse ethnic cleavages on electoral politics diverge depending on the amount of information they provide to their constituency. The information provision, in turn, depends on how well the cleavage lends itself to the formation of ethnic parties. A formal model of voting stability is developed and empirically tested using data on electoral volatility in all new democracies since 1945 and on individual voting in democratizing Bulgaria. The results show that in the sample examined only identity that centers on language jump-starts party-system stabilization, while race and religion do nothing to stabilize the vote in early elections.","political_methodology","observational","NA","Divergence in Diversity? The Dissimilar Effects of Cleavages on Electoral Politics in New Democracies"
"364","10.1111/j.1540-5907.2009.00388.x",204,"This article derives the optimal bargaining strategies of the belligerents when each side has private but incomplete information about the expected outcome of a war, should it take place. I show that the aggressor's demand curve can be below the defender's offer curve, that wars are possible even when both sides are jointly pessimistic, and that the relative cost of a war can radically alter the types of disputes that end in war. A simple diagram provides the intuition for most of the major propositions.","political_methodology","observational","NA","Bargaining in the Shadow of War: When Is a Peaceful Resolution Most Likely?"
"369","10.1111/j.1540-5907.2009.00393.x",209,"Both pundits and scholars have blamed increasing levels of partisan conflict and polarization in Congress on the effects of partisan gerrymandering. We assess whether there is a strong causal relationship between congressional districting and polarization. We find very little evidence for such a link. First, we show that congressional polarization is primarily a function of the differences in how Democrats and Republicans represent the same districts rather than a function of which districts each party represents or the distribution of constituency preferences. Second, we conduct simulations to gauge the level of polarization under various â€œneutralâ€ù districting procedures. We find that the actual levels of polarization are not much higher than those produced by the simulations. We do find that gerrymandering has increased the Republican seat share in the House; however, this increase is not an important source of polarization.","american_government_and_politics","observational","NA","Does Gerrymandering Cause Polarization?"
"373","10.1111/j.1540-5907.2009.00397.x",213,"For many years, scholars of voting behavior have been thwarted in their attempts to identify micro spatial variations in turnout by data limitations. This has meant that most analyses have been ecological, which has implications for valid inference. Here, for the first time, a hierarchical approach is used to show the relative importance of several micro spatial scales, including the household, on voter participation. The findings highlight the importance of the household context. While those who live together often turn out together, the relative level of clustering within households as opposed to between geographical areas is found to be more important for two-person households compared to other households. Even after taking account of whether individuals are likely to self-select others from similar social backgrounds or with similar political attitudes, there is strong evidence of large and significant household effects on voter participation.","political_methodology","observational","NA","What Small Spatial Scales Are Relevant as Electoral Contexts for Individual Voters? The Importance of the Household on Turnout at the 2001 General Election"
"382","10.1111/j.1540-5907.2009.00406.x",222,"Why do some interest groups lobby politicians and others lobby bureaucrats? We theorize lobbying venue choices and intensity as a function of contract enforceability with policy makers, politicians, or bureaucrats. We argue that organizational structures of interest groups, in particular, whether they are centralized or decentralized, substantially affect their lobbying strategies because they are associated with different ability to monitor and enforce contracts with policy makers and punish them when they fail. We further demonstrate that the effect of centralized versus decentralized structure on venue choices is conditional on the types of electoral system: majoritarian, semiproportional (single, nontransferable vote: SNTV), or proportional representation systems. We test this argument using longitudinal survey data on lobbying which span two decades and cover around 250 interest groups in various sectors and issue areas in Japan. The results lend strong support to our argument about contract enforceability under alternative electoral systems.","political_methodology","observational","NA","Who Lobbies Whom? Special Interest Politics under Alternative Electoral Systems"
"384","10.1111/j.1540-5907.2009.00408.x",224,"Political actors in conflict settings are often uncertain about their counterparts' intentions. This article explores the psychology of how intentions are assessed using a novel experimental design that randomly assigns subjects to one of three rolesâ€”â€œproposer,â€ùâ€œrecipient,â€ù or â€œobserver.â€ù Recipients and observers are given identical noisy information about proposers' actions, and make postplay assessments of proposers' intentions that are rewarded based on accuracy. A first experiment explores a context of ambiguity, while a second experiment explores a context of uncertainty. The results suggest that actors' perceptions can sometimes be directly affected by the set of strategic alternatives they possess. When signals about proposer behavior appear â€œnegative,â€ù recipients' assessments of proposers' intentions are more negative than observers' assessments if recipients have the ability to respond to the proposer's actionâ€”but not if recipients lack this ability. The ability to respond to proposer behavior appears to cause recipients to make more negative inferences about the proposer than circumstances warrant. Interestingly, recipients' and observers' assessments are indistinguishable when signals about proposer behavior instead appear â€œpositive.â€ù","political_methodology","experimental","NA","Do Participants and Observers Assess Intentions Differently During Bargaining and Conflict?"
"405","10.1111/j.1540-5907.2009.00429.x",245,"Political scientists presenting binary dependent variable (BDV) models often hypothesize that variables interact to influence the probability of an event, Pr(Y). The current typical approach to testing such hypotheses is (1) estimate a logit or probit model with a product term, (2) test the hypothesis by determining whether the coefficient for this term is statistically significant, and (3) characterize the nature of any interaction detected by describing how the estimated effect of one variable on Pr(Y) varies with the value of another. This approach makes a statistically significant product term necessary to support the interaction hypothesis. We show that a statistically significant product term is neither necessary nor sufficient for variables to interact meaningfully in influencing Pr(Y). Indeed, even when a logit or probit model contains no product term, the effect of one variable on Pr(Y) may be strongly related to the value of another. We present a strategy for testing for interaction in a BDV model, including guidance on when to include a product term.","political_methodology","simulations","NA","Testing for Interaction in Binary Logit and Probit Models: Is a Product Term Essential?"
"410","10.1111/j.1540-5907.2010.00434.x",250,"The common wisdom in journalistic accounts of earmarking is that Congress distributes earmarks on a purely political basis, without any consideration for the demand for federal spending. Academic accounts similarly argue that factors internal to Congress are preeminent in determining where earmarks go, even more than for other types of pork-barrel spending. Using earmarks appearing in the fiscal year 2008 Appropriations bills, I search for both chamber-based and demand-side determinants of the distribution of earmarks. I find that both types of factors are significantly related to the number of earmarks that a House member receives. This result indicates that even while earmarking, members of Congress are at least minimally responsive to voter preferences and calls into question whether earmarks should be treated as an outlier within the universe of spending allocation mechanisms.","american_government_and_politics","observational","NA","Giving the People What They Want? The Distribution of Earmarks in the U.S. House of Representatives"
"412","10.1111/j.1540-5907.2010.00436.x",252,"We examine the relationship between the valence qualities of candidates and the ideological positions they take in U.S. House elections based on a study of the 2006 midterm elections. Our design enables us to distinguish between campaign and character dimensions of candidate valence and to place candidates and districts on the same ideological scale. Incumbents with a personal-character advantage are closer ideologically to their district preferences, while disadvantaged challengers take more extreme policy positions. Contrary to conventional wisdom, challengers can reap electoral rewards by taking more extreme positions relative to their districts. We explore a possible mechanism for this extremism effect by demonstrating that challengers closer to the extreme received greater financial contributions, which enhanced their chances of victory. Our results bear on theories of representation that include policy and valence, although the interactions between these two dimensions may be complex and counterintuitive.","american_government_and_politics","observational","NA","Candidate Valence and Ideological Positions in U.S. House Elections"
"415","10.1111/j.1540-5907.2010.00439.x",255,"We propose a framework for understanding how the Internet has affected the U.S. political news market. The framework is driven by the lower cost of production for online news and consumers' tendency to seek out media that conform to their own beliefs. The framework predicts that consumers of Internet news sources should hold more extreme political views and be interested in more diverse political issues than those who solely consume mainstream television news. We test these predictions using two large datasets with questions about news exposure and political views. Generally speaking, we find that consumers of generally left-of-center (right-of-center) cable news sources who combine their cable news viewing with online sources are more liberal (conservative) than those who do not. We also find that those who use online news content are more likely than those who consume only television news content to be interested in niche political issues.","american_government_and_politics","observational","NA","The World Wide Web and the U.S. Political News Market"
