"","doi","article_ix","abstract","article_topic1","article_topic2","article_data_type","citation","title"
"5","10.1017/S0003055406061995",441,"We present a model where groups attempt to influence policies using both bribes (plata, Spanish for silver) and the threat of punishment (plomo, Spanish for lead). We then use it to make predictions about the quality of a country's public officials and to understand the role of institutions granting politicians with immunity from legal prosecution. The use of punishment lowers the returns from public office and reduces the incentives of high-ability citizens to enter public life. Cheaper plomo and more resources subject to official discretion are associated with more frequent corruption and less able politicians. This predicts that violence in a country will typically go together with corruption and worse politicians. Moreover, the possibility of punishment changes the nature of the influence game, so that even cheaper plata can lower the ability of public officials. Protecting officials from accusations of corruption (immunity) will decrease the frequency of corruption if the judiciary is weak and may increase the quality of politicians. These predictions cannot emerge from a traditional model where only bribes are used.",NA,NA,NA,"NA","‚ÄúPlata o Plomo?‚Äù: Bribe and Punishment in a Theory of Political Influence"
"9","10.1017/S0003055406062034",445,"We posit that Supreme Court oral arguments provide justices with useful information that influences their final votes on the merits. To examine the role of these proceedings, we ask the following questions: (1) what factors influence the quality of arguments presented to the Court; and, more importantly, (2) does the quality of a lawyer's oral argument affect the justices' final votes on the merits? We answer these questions by utilizing a unique data sourceâ€”evaluations Justice Blackmun made of the quality of oral arguments presented to the justices. Our analysis shows that Justice Blackmun's grading of attorneys is somewhat influenced by conventional indicators of the credibility of attorneys and are not simply the product of Justice Blackmun's ideological leanings. We thus suggest they can plausibly be seen as measuring the quality of oral argument. We further show that the probability of a justice voting for a litigant increases dramatically if that litigant's lawyer presents better oral arguments than the competing counsel. These results therefore indicate that this element of the Court's decisional process affects final votes on the merits, and it has implications for how other elite decision makers evaluate and use information.",NA,NA,NA,"NA","The Influence of Oral Arguments on the U.S. Supreme Court"
"16","10.1017/S0003055406062101",428,"The health of any democratic system depends on political ambition to generate a steady supply of quality candidates for office. Because most models of candidate entry assume ambition rather than model it, previous research fails to understand its roots in individual and institutional characteristics. We develop a two-stage model of progressive behavior that distinguishes between the formation of ambition for higher office and the decision to enter a particular race. Using data from a survey of state legislators, we demonstrate that the intrinsic costs and benefits associated with running for and holding higher office shape ambitions but do not influence the decision to run. For progressively ambitious legislators, the second-stage decision is a strategic choice about when to run rather than whether to run. Our research highlights how institutional characteristics that foster progressive ambition also increase the likelihood that national or local political conditions will be translated into meaningful choices at the ballot box.",NA,NA,NA,"NA","When to Risk It? Institutions, Ambitions, and the Decision to Run for the U.S. House"
"26","10.1017/S0003055406062204",414,"Adam Smith is almost certainly history's most famous advocate of commercial society, but he frankly admits that the relentless pursuit of wealth is a major obstacle to tranquility and contentment and hence that, at first glance, the higher living standards that people â€œenjoyâ€ù in commercial society seem to come only at the cost of their happiness. I argue that the solution to this apparent paradox can be found in Smith's account of the positive political effects of commerce: dependence and insecurity are the chief obstacles to happiness and have been the hallmarks of most of human history, and so the alleviation of these ills in commercial society constitutes a great step forward. Money really cannot buy happiness, but the liberty and security that commercial societies tend to provide help to assuage the greatest sources of misery.",NA,NA,NA,"NA","Does ‚ÄúBettering Our Condition‚Äù Really Make Us Better Off? Adam Smith on Progress and Happiness"
"35","10.1017/S0003055406062290",423,"Mediation is one of the most widespread techniques for preventing conflict and promoting cooperation. I examine the conditions under which mediators can facilitate cooperation by building trust between two parties. Assuming mediators have no intrinsic commitment to honesty, they can be credible trust builders in one-round interactions only if they care about the issue at stake, have a moderate ideal point, and do not find conflict to be too costly. A mediator that is solely interested in promoting cooperation, or one that is biased toward one side, will be ineffective. A desire to preserve a reputation for honesty can overcome a limited amount of bias or issue indifference.",NA,NA,NA,"NA","When Can Mediators Build Trust?"
"48","10.1017/S000305540707013X",389,"Even as he recommends it as the extra-constitutional solution to the inefficiencies and insufficiencies of legislative constitutionalism, Locke's Second Treatise is far more aware of the dangers of executive prerogative than the more optimistic accounts in the recent scholarship have appreciated, making Locke pessimistic about the permanent sustenance of legislative constitutionalism. This pessimism stems from Locke's recognition that the people are far too constitutionally passive for the vigilance essential to â€˜umpireâ€™ well the necessity of executive action outside the laws. In fact, liberalism itself can contribute to such passivity: the people are content to allow an executive to act with a significant degree of discretion outside the laws so long as those actions do not interfere with their short-term interest in security and prosperity. Understanding Locke's pessimism regarding popular vigilance casts into new light his argument for a legislative constitutionalism based on fundamental laws that establish a clear separation of powers. Such fundamental laws provide legislative elites with the constitutional â€˜signalsâ€™ by which they can alert the otherwise slumbering people about an executive intent on usurpation and tyranny.",NA,NA,NA,"NA","Can the Prince Really Be Tamed? Executive Prerogative, Popular Apathy, and the Constitutional Frame in Locke's Second Treatise"
"81","10.1017/S0003055407070463",362,"How can we conduct cross-cultural inquiry without reproducing the ethnocentric categories that prompt critique in the first place? Postcolonial and comparative political theorists have called into question the â€œuniversalâ€ù applicability of Western liberal political norms, but their critiques are drawn most often from competing Western discourses (e.g., poststructuralism) rather than from the culturally diverse traditions of scholarship whose ideas they examine. In contrast, I suggest attending to these culturally situated traditions of scholarship, especially their methods of inquiry, in addition to their substantive ideas. This method-centered approach reinterprets cross-cultural engagement, not as a tool for modifying existing parochial debates on the basis of â€œnon-Westernâ€ù cases, but as an opportunity to ask new questions through alternative frames of reference. Examining the interpretive methodologies of two Chinese classicists, I show how their methods offer not only new ideas but also new methods for the practice of political and cross-cultural theory.",NA,NA,NA,"NA","‚ÄúWhat Does Heaven Ever Say?‚Äù A Methods-centered Approach to Cross-cultural Engagement"
"84","10.1017/S0003055407070499",360,"A large and growing literature links high levels of ethnic diversity to low levels of public goods provision. Yet although the empirical connection between ethnic heterogeneity and the underprovision of public goods is widely accepted, there is little consensus on the specific mechanisms through which this relationship operates. We identify three families of mechanisms that link diversity to public goods provisionâ€”what we term â€œpreferences,â€ù â€œtechnology,â€ù and â€œstrategy selectionâ€ù mechanismsâ€”and run a series of experimental games that permit us to compare the explanatory power of distinct mechanisms within each of these three families. Results from games conducted with a random sample of 300 subjects from a slum neighborhood of Kampala, Uganda, suggest that successful public goods provision in homogenous ethnic communities can be attributed to a strategy selection mechanism: in similar settings, co-ethnics play cooperative equilibria, whereas non-co-ethnics do not. In addition, we find evidence for a technology mechanism: co-ethnics are more closely linked on social networks and thus plausibly better able to support cooperation through the threat of social sanction. We find no evidence for prominent preference mechanisms that emphasize the commonality of tastes within ethnic groups or a greater degree of altruism toward co-ethnics, and only weak evidence for technology mechanisms that focus on the impact of shared ethnicity on the productivity of teams.",NA,NA,NA,"NA","Why Does Ethnic Diversity Undermine Public Goods Provision?"
"85","10.1017/S0003055407070505",359,"We investigate whether political institutions can promote attachment to the state in multiethnic societies. Building on literatures on nationalism, democratization, and conflict resolution, we discuss the importance of attachment, understood as a psychological identification with, and pride in, the state. We construct a model of state attachment, specifying the individual-, group-, and state-level conditions that foster it. Then, using cross-national survey data from 51 multiethnic states, we show that, in general, ethnic minorities manifest less attachment to the states in which they reside than do majorities. Combining the survey data with minority group attributes and country-level attributes, we show that the attachment of minorities varies importantly across groups and countries. Our central finding is that federalism and proportional electoral systemsâ€”two highly touted solutions to ethnic divisionsâ€”have at best mixed effects. These results have implications for state-building and democratic consolidation in ethnically heterogeneous states.",NA,NA,NA,"NA","Can Institutions Build Unity in Multiethnic States?"
"176","10.1017/S0003055409990256",281,"The American Political Science Review peer review process relies on the professionalism and generosity of those who contribute their time to read and evaluate the work of others. The Co-editors thank the following scholars for serving as manuscript reviewers between September 1, 2008, and August 31, 2009.",NA,NA,NA,"NA","APSR EXTERNAL REVIEWERS, 2008‚Äì2009"
