"","doi","author","title","citation","checked"
"1","10.1257/aer.91.1.348","Hashimoto, Masanori","Firm-Specific Human Capital as a Shared Investment: Reply","0",1
"2","10.1257/aer.91.2.509","Scott, Charles E. Siegfried, John J.","American Economic Association Universal Academic Questionnaire Summary Statistics",NA,1
"3","10.1257/aer.91.3.747","","Independent Auditors' Report","0",1
"4","10.1257/aer.91.4.1180","Nelson, William Robert","Incorporating Fairness into Game Theory and Economics: Comment","12",1
"5","10.1257/aer.91.5.1621","Burdekin, Richard C. K. Weidenmier, Marc D.","Inflation Is Always and Everywhere a Monetary Phenomenon: Richmond vs. Houston in 1864","15",1
"6","10.1257/000282802760015829","Trefler, Daniel","The Case of the Missing Trade and Other Mysteries: Reply","2",1
"7","10.1257/000282802320191976","","Universal Academic Questionnaire Summary Statistics",NA,1
"8","10.1257/00028280260136480","","Auditors' Report/Audited Financial Statements","0",1
"9","10.1257/00028280260136327","Fay, Scott Hurst, Erik White, Michelle J.","The Household Bankruptcy Decision","108",1
"10","10.1257/00028280260136318","Oyer, Paul Schaefer, Scott","Litigation Costs and Returns to Experience","12",1
"11","10.1257/00028280260136309","Klein, Michael W. Peek, Joe Rosengren, Eric S.","Troubled Banks, Impaired Foreign Direct Investment: The Role of Relative Access to Credit","69",1
"12","10.1257/00028280260136444","Hörner, Johannes","Reputation and Competition","4",1
"13","10.1257/00028280260136435","Goeree K. Offerman, Theo","Efficiency in Auctions with Private and Common Values: An Experimental Study","36",1
"14","10.1257/00028280260136426","Hartley, Roger Farrell, Lisa","Can Expected Utility Theory Explain Gambling?","28",1
"15","10.1257/00028280260136264","Kniesner, Thomas J. Ziliak, James P.","Tax Reform and Automatic Stabilization","28",1
"16","10.1257/00028280260136255","Alesina, Alberto Ardagna, Silvia Perotti, Roberto Schiantarelli, Fabio","Fiscal Policy, Profits, and Investment","126",1
"17","10.1257/00028280260136246","Lei, Vivian Noussair, Charles N.","An Experimental Test of an Optimal Growth Model","10",1
"18","10.1257/00028280260136381","Kumar, Subodh Russell, R. Robert","Technological Change, Technological Catch-up, and Capital Deepening: Relative Contributions to Growth and Convergence","183",1
"19","10.1257/00028280260136372","Hsieh, Chang-Tai","What Explains the Industrial Revolution in East Asia? Evidence From the Factor Markets","78",1
"20","10.1257/00028280260136363","Stiglitz, Joseph E.","Information and the Change in the Paradigm in Economics","221",1
"21","10.1257/00028280260136200","Spence, Michael","Signaling in Retrospect and the Informational Structure of Markets","239",1
"22","10.1257/00028280260136192","Akerlof, George A.","Behavioral Macroeconomics and Macroeconomic Behavior","133",1
"23","10.1257/000282802320191967","","Search Committee for the Editor of the JEP",NA,1
"24","10.1257/000282802320191958","","AEA Exploratory Committee on Economic Statistics",NA,1
"25","10.1257/000282802320191949","","Committee on the Status of Women in the Economics Profession","3",1
"26","10.1257/000282802320191930","","Committee on Economic Education","0",1
"27","10.1257/000282802320191921","","Director, Job Openings for Economists","0",1
"28","10.1257/000282802320191912","","Editor, Journal of Economic Perspectives","0",1
"29","10.1257/000282802320191903","","Editor, Journal of Economic Literature","1",1
"30","10.1257/000282802320191895","","Editor, American Economic Review","2",1
"31","10.1257/000282802320191886","","Finance Committee","1",1
"32","10.1257/000282802320191877","","Treasurer","0",1
"33","10.1257/000282802320191868","","Secretary","0",1
"34","10.1257/000282802320191859","","Minutes of the Executive Committee Meetings","0",1
"35","10.1257/000282802320191840","","Minutes of the Annual Meeting","0",1
"36","10.1257/000282802320191831","","John Bates Clark Award","0",1
"37","10.1257/000282802320191822","","Promoting Economic Literacy: Panel Discussion","2",1
