,JEL,abstract,author,doi,journal,pdf_url,publication_date,title,url,year,index
651,J24 D33 J41,,"Hashimoto, Masanori",10.1257/aer.91.1.348,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.91.1.348,2001/03,Firm-Specific Human Capital as a Shared Investment: Reply,https://www.aeaweb.org/articles?id=10.1257/aer.91.1.348,2001.0,0
652,,,"Scott, Charles E. Siegfried, John J.",10.1257/aer.91.2.509,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.91.2.509,2001/05,American Economic Association Universal Academic Questionnaire Summary Statistics,https://www.aeaweb.org/articles?id=10.1257/aer.91.2.509,2001.0,1
653,,,,10.1257/aer.91.3.747,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.91.3.747,2001/06,Independent Auditors' Report,https://www.aeaweb.org/articles?id=10.1257/aer.91.3.747,2001.0,2
654,C70 D63,,"Nelson, William Robert",10.1257/aer.91.4.1180,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.91.4.1180,2001/09,Incorporating Fairness into Game Theory and Economics: Comment,https://www.aeaweb.org/articles?id=10.1257/aer.91.4.1180,2001.0,3
655,E31 N11 E52,,"Burdekin, Richard C. K. Weidenmier, Marc D.",10.1257/aer.91.5.1621,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/aer.91.5.1621,2001/12,Inflation Is Always and Everywhere a Monetary Phenomenon: Richmond vs. Houston in 1864,https://www.aeaweb.org/articles?id=10.1257/aer.91.5.1621,2001.0,4
656,,,"Trefler, Daniel",10.1257/000282802760015829,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802760015829,2002/03,The Case of the Missing Trade and Other Mysteries: Reply,https://www.aeaweb.org/articles?id=10.1257/000282802760015829,2002.0,5
657,,,,10.1257/000282802320191976,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191976,2002/05,Universal Academic Questionnaire Summary Statistics,https://www.aeaweb.org/articles?id=10.1257/000282802320191976,2002.0,6
658,,,,10.1257/00028280260136480,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136480,2002/06,Auditors' Report/Audited Financial Statements,https://www.aeaweb.org/articles?id=10.1257/00028280260136480,2002.0,7
659,,,"Fay, Scott Hurst, Erik White, Michelle J.",10.1257/00028280260136327,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136327,2002/06,The Household Bankruptcy Decision,https://www.aeaweb.org/articles?id=10.1257/00028280260136327,2002.0,8
660,," We develop a model linking maximum damage awards available to plaintiffs in wrongful termination lawsuits, workers' propensity to sue as a function of experience, and returns to experience. Using Equal Employment Opportunity Commission data on protected-worker discrimination complaints and labor-market data from the Current Population Survey, we examine how returns to experience among protected workers changed around the passage of the Civil Rights Act of 1991. We show that employers' reactions to employment protections may induce redistributive effects. Furthermore, these effects operate not merely across groups of differing protected status, but also within groups of identical protected status. (JEL D21, J31, J71, K31)","Oyer, Paul Schaefer, Scott",10.1257/00028280260136318,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136318,2002/06,Litigation Costs and Returns to Experience,https://www.aeaweb.org/articles?id=10.1257/00028280260136318,2002.0,9
661,," During the 1980's, theories were developed to explain the striking correlation between real exchange rates and foreign direct investment (FDI). However, this relationship broke down for Japanese FDI in the 1990's, as the real exchange rate appreciated while FDI plummeted. We propose the relative access to credit hypothesis and show that unequal access to credit by Japanese firms contributes to the explanation of declining Japanese FDI. Using bank-level and firm-level data sets, we find that financial difficulties at banks were economically and statistically important in reducing the number of FDI projects by Japanese firms into the United States. (JEL G21, F36)","Klein, Michael W. Peek, Joe Rosengren, Eric S.",10.1257/00028280260136309,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136309,2002/06,"Troubled Banks, Impaired Foreign Direct Investment: The Role of Relative Access to Credit",https://www.aeaweb.org/articles?id=10.1257/00028280260136309,2002.0,10
662,," This paper shows how competition generates reputation-building behavior in repeated interactions when the product quality observed by consumers is a noisy signal of firms' effort level. There are two types of firms and ""good"" firms try to distinguish themselves from ""bad"" firms. Although consumers get convinced that firms which are repeatedly successful in providing high quality are good firms, competition endogenously generates the outside option inducing disappointed consumers to leave firms. This threat of exit induces good firms to choose high effort, allowing good reputations to be valuable, but its uncompromising execution forces good firms out of the market. (JEL C7, D8)","Hörner, Johannes",10.1257/00028280260136444,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136444,2002/06,Reputation and Competition,https://www.aeaweb.org/articles?id=10.1257/00028280260136444,2002.0,11
663,," Auctions are generally not efficient when the object's expected value depends on private and common value information. We report a series of first-price auction experiments to measure the degree of inefficiency that occurs with financially motivated bidders. While some subjects fall prey to the winner's curse, they weigh their private and common value information in roughly the same manner as rational bidders, with observed efficiencies close to predicted levels. Increased competition and reduced uncertainty about the common value positively affect revenues and efficiency. The public release of information about the common value also raises efficiency, although less than predicted. (JEL C72, D44)","Goeree K. Offerman, Theo",10.1257/00028280260136435,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136435,2002/06,Efficiency in Auctions with Private and Common Values: An Experimental Study,https://www.aeaweb.org/articles?id=10.1257/00028280260136435,2002.0,12
664,," We investigate the ability of expected utility theory to account for simultaneous gambling and insurance. Contrary to a previous claim that borrowing and lending in perfect capital markets removes the demand for gambles, we show expected utility theory with nonconcave utility functions can explain gambling. When the rates of interest and time preference are equal, agents seek to gamble unless income falls in a finite set of values. When they differ, there is a range of incomes where gambles are desired. Different borrowing and lending rates can account for persistent gambling provided the rates span the rate of time preference. (JEL D81, D91)","Hartley, Roger Farrell, Lisa",10.1257/00028280260136426,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136426,2002/06,Can Expected Utility Theory Explain Gambling?,https://www.aeaweb.org/articles?id=10.1257/00028280260136426,2002.0,13
