,abstract,author,doi,journal,pdf_url,publication_date,title,url,year,index
2,"<p>Empirically, disincentive effects on work of generous welfare state arrangements tend to appear with a substantial time lag. One explanation is that norms concerning work and benefit dependency delay such effects. We model altruistic parents' economic incentives for instilling such work norms in their children. Anticipated economic support from parents may reduce work effort, and parental altruism makes threats to withdraw such support noncredible. Instilling norms mitigates this problem. However, generous social insurance arrangements tend to weaken parents' incentives to instill such norms in their children. We find empirical support for this prediction.</p>","Lindbeck, Assar Nyberg, Sten",10.1093/qje/121.4.1473,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1473/5248568/121-4-1473.pdf,2006/11/01,"Raising Children to Work Hard: Altruism, Work Norms, and Social Insurance",https://academic.oup.com/qje/article/121/4/1473/1855239/Raising-Children-to-Work-Hard-Altruism-Work-Norms,2006,0
3,"<p>A continuum of ages exists at school entry due to the use of a single school cutoff date—making the “oldest” children approximately 20 percent older than the “youngest” children. We provide substantial evidence that these initial maturity differences have long-lasting effects on student performance across OECD countries. In particular, the youngest members of each cohort score 4–12 percentiles lower than the oldest members in grade four and 2–9 percentiles lower in grade eight. In fact, data from Canada and the United States show that the youngest members of each cohort are even less likely to attend university.</p>","Bedard, Kelly Dhuey, Elizabeth",10.1093/qje/121.4.1437,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1437/5248560/121-4-1437.pdf,2006/11/01,The Persistence of Early Childhood Maturity: International Evidence of Long-Run Age Effects,https://academic.oup.com/qje/article/121/4/1437/1855234/The-Persistence-of-Early-Childhood-Maturity,2006,1
5,"<p>A club's majority rule defines the number of members that must approve a policy proposed to replace the status quo. Since the majority rule thus dictates the extent to which winners must compensate losers, it also determines the incentives to invest in order to become a winner of anticipated projects. If the required majority is large, members invest too little because of a holdup problem; if it is small, members invest too much in order to become a member of the majority coalition. To balance these opposing forces, the majority rule should increase in the project's value and the club's enforcement capacity but decrease in the heterogeneity in preferences. Externalities can be internalized by adjusting the rule. With heterogeneity in size or initial conditions, votes should be appropriately weighted or double majorities required.</p>","Harstad, Bård",10.1162/003355305775097551,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/120/4/1535/5431362/120-4-1535.pdf,2005/11/01,Majority Rules and Incentives,https://academic.oup.com/qje/article/120/4/1535/1926697/Majority-Rules-and-Incentives,2005,2
6,"<p>We build a model of competitive pooling, which incorporates adverse selection and signaling into general equilibrium. Pools are characterized by their quantity limits on contributions. Households signal their reliability by choosing which pool to join. In equilibrium, pools with lower quantity limits sell for a higher price, even though each household's deliveries are the same at all pools. The Rothschild-Stiglitz model of insurance is included as a special case. We show that by recasting their hybrid oligopolistic-competitive story in our perfectly competitive framework, their separating equilibrium always exists (even when they say it does not) and is unique.</p>","Dubey, Pradeep Geanakoplos, John",10.1162/003355302320935098,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/117/4/1529/5304511/117-4-1529.pdf,2002/11/01,Competitive Pooling: Rothschild-Stiglitz Reconsidered,https://academic.oup.com/qje/article/117/4/1529/1876032/Competitive-Pooling-Rothschild-Stiglitz,2002,3
7,"<p>We investigate how integration of bank ownership across states has affected economic volatihty within states. In theory, bank integration could cause higher or lower volatility, depending on whether credit supply or credit demand shocks predominate. In fact, year-to-year fluctuations in a state's economic growth fall as its banks become more integrated (via holding companies) with banks in other states. As the bank linkages between any pair of states increase, fluctuations in those two states tend to converge. We conclude that interstate banking has made state business cycles smaller, but more alike.</p>","Morgan, Donald P. Rime, Bertrand Strahan, Philip E.",10.1162/0033553042476161,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/119/4/1555/5236141/119-4-1555.pdf,2004/11/01,Bank Integration and State Business Cycles,https://academic.oup.com/qje/article/119/4/1555/1851081/Bank-Integration-and-State-Business-Cycles,2004,4
8,"<p>Estimates of the effect of college selectivity on earnings may be biased because elite colleges admit students, in part, based on characteristics that are related to future earnings. We matched students who applied to, and were accepted by, similar colleges to try to eliminate this bias. Using the College and Beyond data set and National Longitudinal Survey of the High School Class of 1972, we find that students who attended more selective colleges earned about the same as students of seemingly comparable ability who attended less selective schools. Children from low-income families, however, earned more if they attended selective colleges.</p>","Dale, Stacy Berg Krueger, Alan B.",10.1162/003355302320935089,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/117/4/1491/5304491/117-4-1491.pdf,2002/11/01,Estimating the Payoff to Attending a More Selective College: An Application of Selection on Observables and Unobservables,https://academic.oup.com/qje/article/117/4/1491/1876022/Estimating-the-Payoff-to-Attending-a-More,2002,5
10,"<p>Research on information economics and securities markets dating back to Stigler (<em>Journal of Political Economy</em>, 69 (1961), 213–225; <em>Journal of Business</em>, 37 (1964), 117–142) argues that trading will tend to centralize in major market centers such as the New York Stock Exchange (NYSE). The NYSE's recent mergers with Archipelago and Euronext bring questions about the viability and effects of competition between stock exchanges to the policy forefront. We examine the largely forgotten but unparalleled episode of competition between the NYSE and the Consolidated Stock Exchange of New York (Consolidated) from 1885 to 1926. The Consolidated averaged 23% of NYSE volume for approximately forty years by operating a second market for the most liquid securities that traded on the Big Board. Our results suggest that NYSE bid-ask spreads fell by more than 10% when the Consolidated began to trade NYSE stocks and subsequently increased when the Consolidated ceased operations. The empirical analysis suggests that this historical episode of stock market competition improved consumer welfare by an amount equivalent to US$9.6 billion today.</p>","Brown, William O. Mulherin, J. Harold Weidenmier, Marc D.",10.1162/qjec.2008.123.4.1679,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1679/5446935/123-4-1679.pdf,2008/11/01,Competing with the New York Stock Exchange,https://academic.oup.com/qje/article/123/4/1679/1933219/Competing-with-the-New-York-Stock-Exchange,2008,6
11,"<p>We test whether textbook consumers are forward-looking, using a large new data set on textbooks sold in college bookstores during the ten semesters from 1997 to 2001. The data strongly support the hypothesis that students are forward-looking with low short-run discount rates and that they behave as if they have rational expectations of publishers' revision behavior. Data from a second new data set on the market prices of used books at Amazon Marketplace also support the hypothesis of rational, forward-looking behavior. Simulation results indicate that students are sufficiently forward-looking that publishers cannot consistently raise revenue by accelerating current revision cycles.</p>","Chevalier, Judith Goolsbee, Austan",10.1162/qjec.2009.124.4.1853,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1853/5407395/124-4-1853.pdf,2009/11/01,Are Durable Goods Consumers Forward-Looking? Evidence from College Textbooks,https://academic.oup.com/qje/article/124/4/1853/1917235/Are-Durable-Goods-Consumers-Forward-Looking,2009,7
56,"<p>We conducted online field experiments in large real-world social networks in order to decompose prosocial giving into three components: (1) <em>baseline altruism</em> toward randomly selected strangers, (2) <em>directed altruism</em> that favors friends over random strangers, and (3) giving motivated by the <em>prospect of future interaction</em>. Directed altruism increases giving to friends by 52% relative to random strangers, whereas future interaction effects increase giving by an additional 24% when giving is socially efficient. This finding suggests that future interaction affects giving through a repeated game mechanism where agents can be rewarded for granting efficiency-enhancing favors. We also find that subjects with higher baseline altruism have friends with higher baseline altruism.</p>","Leider, Stephen Möbius, Markus M. Rosenblat, Tanya Do, Quoc-Anh",10.1162/qjec.2009.124.4.1815,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1815/5407387/124-4-1815.pdf,2009/11/01,Directed Altruism and Enforced Reciprocity in Social Networks,https://academic.oup.com/qje/article/124/4/1815/1917230/Directed-Altruism-and-Enforced-Reciprocity-in,2009,8
57,"<p>The folk theorem of repeated games has established that cooperative behavior can be sustained as an equilibrium in repeated settings. Early papers on private monitoring and a recent paper of Cole and Kocherlakota (<em>Games and Economic Behavior</em>, 53 [2005], 59–72) challenge the robustness of this result by providing examples in which cooperation breaks down when players observe only imperfect private signals about other players' actions, or when attention is restricted to strategies with finite memory. This paper shows that Cole and Kocherlakota's result is an artefact of a further restriction that they impose. We prove that the folk theorem with imperfect public monitoring holds with strategies with finite memory. As a corollary, we establish that the folk theorem extends to environments in which monitoring is close to public, yet private.</p>","Hörner, Johannes Olszewski, Wojciech",10.1162/qjec.2009.124.4.1773,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1773/5407371/124-4-1773.pdf,2009/11/01,How Robust is the Folk Theorem?,https://academic.oup.com/qje/article/124/4/1773/1917223/How-Robust-is-the-Folk-Theorem,2009,9
